qid,vid_name,q,a0,a1,a2,a3,answer_idx,chunk_ids,oracle_idx
Y7eYfHIyn3M_q3_5,Y7eYfHIyn3M,Is the girl with the stripes surprised?,"Yes, because she is surprised by the air-horn sound effect.","the girl with the spots, so she is not surprised.","No, because she is holding her mouth open to catch the marshmallow.","Yes, the girl with the stripes is surprised by the dog.",2,"[0, 1, 2, 3, 4, 5, 6]",2
Y7eYfHIyn3M_q2_0,Y7eYfHIyn3M,What does the girl wearing the striped shirt feel at 0:34?,The girl wearing the striped shirt is confused.,She is very happy,She is feeling frustrated.,She is very upset,3,"[0, 1, 2, 3, 4, 5, 6]",2
Y7eYfHIyn3M_q4_6,Y7eYfHIyn3M,Why does the girl wearing the white shirt and colored skirt look around?,She is looking for her lost hairbrush.,She is confused because she is missing her phone.,The girl is looking around because she is trying to find her friend.,She is trying to find her pet iguana.,1,"[0, 1, 2, 3, 4, 5, 6]",2
Y7eYfHIyn3M_q5_8,Y7eYfHIyn3M,Why does the girl with the white shirt care about her phone?,She wants to take a picture of her dog.,She regrets throwing her phone.,She is worried about losing her phone.,She wants to impress the girl with the striped shirt by showing how compassionate she is.,1,"[0, 1, 2, 3, 4, 5, 6]",2
Y7eYfHIyn3M_q1_10,Y7eYfHIyn3M,Why was the girl with the stripes disgruntled?,She is upset because her hair is not cooperating.,She is annoyed because she can't find her favorite pen.,She did not like being hit with the marshmallow that the girl in white threw.,She is frustrated because the girl in white cannot preform easy tasks.,3,"[0, 1, 2, 3, 4, 5, 6]",2
YAYfMkxhRiQ_q2_1,YAYfMkxhRiQ,Does the man believe more severe punishment should have been meted?,The man thinks that Kellyanne Conway should be rewarded for promoting Ivanka Trump's clothing line.,"Yes, the man believes a more serious punishment should have been meted.",", because he thinks the criminal should be rewarded for their actions.",The man thinks that Kellyanne Conway did nothing wrong.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",7
YAYfMkxhRiQ_q4_9,YAYfMkxhRiQ,How do the other people in the room feel when the man is speaking?,They feel somewhat engaged with the content of his thoughts,They feel bored and disinterested.,The other people in the room are not interested in the serious content.,They feel silly and tired.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",7
YAYfMkxhRiQ_q1_3,YAYfMkxhRiQ,What does the man think of government corruption?,The man thinks the weather is nice today.,The man thinks corruption is okay.,The man is impressed with the government's handling of corruption.,He disapproves of it,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",7
YAYfMkxhRiQ_q3_0,YAYfMkxhRiQ,What is the tone of the man as he speaks?,The man in the screen is excited about the upcoming weekend.,"He is speaking analytically, so his tone is academic","Yes, because he's trying to help them understand the topic at hand.","He is trying to argue for ethic reform, so his tone is passioante",1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",7
YAYfMkxhRiQ_q5_9,YAYfMkxhRiQ,Why do the other people at the table watch the man?,They disagree strongly with what he says and appreciate how he says it,The other people at the table enjoy what he is saying.,They are waiting for the food to arrive.,Because they are trying to absorb what he is saying,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",7
YI5l5ltMl8g_q1_3,YI5l5ltMl8g,How does the woman make the audience laugh?,The woman makes the audience laugh by performing a stand-up comedy routine.,The woman makes the audience laugh by telling knock-knock jokes.,By making jokes,The woman mentions how she and her friend want to be like certain characters in the series.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
YI5l5ltMl8g_q5_3,YI5l5ltMl8g,"When the man decides to settle to be like a certain character, how does the woman react?",The woman genuinely thinks the man is noble for settling for that character.,She disapproves of his decision.,She sarcastically approves,She laughs at him for his choice.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
YI5l5ltMl8g_q4_1,YI5l5ltMl8g,Why does the woman lean back and gasp at 0:16?,She is taken aback by the man's statement.,She is surprised by the man's tie.,She is thinking about her favorite food.,She likes the man and is trying to get closer to him,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
YI5l5ltMl8g_q3_10,YI5l5ltMl8g,Why does the woman point out her finger at 0:18?,She points her finger to emphasize her point.,She points her finger to be clear about her opinion.,She is gesturing towards the dog running in the background,To make the dialogue more lively,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
YI5l5ltMl8g_q2_6,YI5l5ltMl8g,Why does the woman smile at 0:09?,The woman enjoys being around the man.,Because she is thinking of a conversation,The woman is laughing at a joke.,wants to show off her teeth.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2
YVHJpAROBvQ_q3_3,YVHJpAROBvQ,What does the man feel about the things he is talking about?,He is very passionate about his subject.,He is uninterested in the topic.,He is interested in them.,He is indifferent about the topic.,0,"[0, 1, 2, 3, 4, 5]",2
YVHJpAROBvQ_q2_7,YVHJpAROBvQ,What is his opinion about product pricing?,It is something that big companies do.,It is something that people need to know.,He believes that product pricing should be based on the color of the product.,He thinks that product pricing should always be low.,0,"[0, 1, 2, 3, 4, 5]",2
YVHJpAROBvQ_q1_10,YVHJpAROBvQ,Which of the statements is more accurate?,The man is very excited to bring attention to the sense of urgency.,The statement filled with grammar mistakes.,The man is discussing the importance of paying attention to creating a sense of urgency.,The statement to create a sense of urgency.,3,"[0, 1, 2, 3, 4, 5]",2
YVHJpAROBvQ_q4_11,YVHJpAROBvQ,Which word better describes the man in the video?,The man is supportive.,He is aggressive.,He is supportive but also critical.,The man is a mean person.,0,"[0, 1, 2, 3, 4, 5]",2
YVHJpAROBvQ_q5_6,YVHJpAROBvQ,Why is he doing this video?,He is promoting his own product.,He enjoys talking about pricing.,To inform viewers.,He is trying to sell a book.,2,"[0, 1, 2, 3, 4, 5]",2
YgfaKTH9RbY_q9_7,YgfaKTH9RbY,How does the guy on the right responding?,He is responding happily,He reacts positively to him,He is responding sarcastically.,He is responding angrily.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q5_0,YgfaKTH9RbY,How does the man on the right feel about Bushwick?,"He is recommending it to the other man, so he likes Bushwick.",He does not like Bushwick because he believes it is expensive.,The man on the right thinks Bushwick is too dangerous.,The man on the right thinks Bushwick is overrated.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q8_6,YgfaKTH9RbY,How is the guy on the left responding?,The guy on the left is pretending to be annoyed.,The guy on the left is confused.,He is responding happily,He's responding with curiosity and engagement.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q10_11,YgfaKTH9RbY,How is the guy on the right presenting himself?,He presents himself with a smile.,He presents himself with eager,He seems distracted and uninterested.,He seems bored and uninterested.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q11_0,YgfaKTH9RbY,What do the men think about art?,They think it is worthless.,"One of the men appreciates art, but the other doesn't care for it.",They don't care about it.,They appreciate it,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q4_0,YgfaKTH9RbY,What do the men think about immigrant neighborhoods?,The men are curious about immigrant neighborhoods.,They think immigrant neighborhoods are boring.,They are neutral about them.,They think they are interesting and like them,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q7_4,YgfaKTH9RbY,Why do the two men nod often during the conversation?,They are listening to music,They are agreeing,They are both hungry.,They are both sleepy.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q1_8,YgfaKTH9RbY,Why does the man in the white shirt lean back as they speak?,To lean back,The man in the white shirt is trying to avoid the camera.,The man in the white shirt leans back to stretch his back.,To relax more,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q6_3,YgfaKTH9RbY,Why does the man in the white shirt smile at the end?,He is smiling because he just got a text from his friend.,He is smiling because he just remembered a funny joke.,He saw a bird fly by.,He is being friendly,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YgfaKTH9RbY_q3_0,YgfaKTH9RbY,Why does the man on the left seem confused?,He is surprised by what the man on the right is saying.,"The man on the left is surprised by what the man on the right is saying, but not confused.",He does not understand what the man on the right is saying.,The man on the left is bored with the conversation.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q11_0,YlVkBzXo0YM,How do the woman in pajamas and the man in the black sweatshirt appear to be on the couch?,The woman is angry and the man is scared.,The man and woman are sitting awkwardly on the couch.,Comfortable.,The woman in pajamas and the man in the black sweatshirt appear comfortable.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q9_3,YlVkBzXo0YM,How does the man in the black hoodie feel towards the woman next to him?,He is annoyed by her presence.,He is jealous of her success.,feels friendly towards her,The man in the black hoodie feels concerned about the woman next to him,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q2_9,YlVkBzXo0YM,How does the woman act in the end?,The woman acts as though she is suffering in the end,The woman is angry in the end.,She acts happy and upbeat.,The woman is indifferent in the end.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q1_0,YlVkBzXo0YM,How does the woman in the pajamas feel?,She feels sad and defeated.,She is indifferent and uninterested.,She feels happy.,She is angry and frustrated.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q7_9,YlVkBzXo0YM,How does the woman next to the man in the hoodie feel after answering the first quiz question?,The woman looks confused after answering the first quiz question.,"No, she was relieved after answering the first quiz question.",The woman feels grief after answering the first quiz question,She feels neutral,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q5_6,YlVkBzXo0YM,How does the woman speak in the beginning?,The woman speaks in a disinterested manner.,The woman speaks in a interested manner,She talks with little enthusiasm.,The woman speaks in a disinterested manner.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q4_7,YlVkBzXo0YM,Is the woman next to the man in the hoodie in denial?,"Yes, she does not see something which is painfully obvious",The man is secretly in love with Bo.,Bo is convinced that she is not experiencing post-partum depression.,"No, she is not in denial, but rather is fully aware of the situation.",0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q3_0,YlVkBzXo0YM,What emotion is the woman feeling at the end of the video?,She is feeling anxious about her life in general.,She is feeling joy.,She is feeling sadness.,She is relieved.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q8_0,YlVkBzXo0YM,What is the man in the black sweatshirt trying to do?,He is trying to make the woman feel worse.,He is trying to help the woman.,He is trying to run away from the woman.,He is trying to help the woman.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q6_0,YlVkBzXo0YM,Why does the man in glasses point at 0:15?,The man is checking his phone for messages.,The man in glasses is asking a question.,He is trying to poke the woman.,He wants to bring attention to where he is pointing.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YlVkBzXo0YM_q10_0,YlVkBzXo0YM,Why does the woman roll her eyes at 0:14?,She finds what she is talking about to be funny.,She thinks the man is being insensitive.,She thinks the man is being ridiculous.,She thinks the other man is talking nonsense.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6
YsBSR_z9BR8_q5_3,YsBSR_z9BR8,How does Colbert present himself?,Colbert is hosting a party.,Colbert is wearing a red shirt.,As a happy and excited person,He's asking the public for their honest political opinions seriously.,2,"[0, 1, 2, 3, 4, 5, 6]",5
YsBSR_z9BR8_q3_9,YsBSR_z9BR8,How does the audience feel about this situation at 0:04?,The crowd feels positive about the situation at 0:04.,They cheer because they think it's hilarious.,They can't believe what just happened,The crowd is polite about the situation at 0:04.,2,"[0, 1, 2, 3, 4, 5, 6]",5
YsBSR_z9BR8_q1_3,YsBSR_z9BR8,How does the audience feel throughout the skit?,They are overwhelmed with laughter,They like the acting and groan in response,They are confused by the sudden shifts in topic.,They are underwhelmed with the humor.,0,"[0, 1, 2, 3, 4, 5, 6]",5
YsBSR_z9BR8_q4_7,YsBSR_z9BR8,How does the second interviewee present himself?,sailor.,He presents himself as calm and cheered up at the end,He presents himself as confident and knowledgeable.,He presents himself as frustrated and angry.,1,"[0, 1, 2, 3, 4, 5, 6]",5
YsBSR_z9BR8_q2_4,YsBSR_z9BR8,What emotions does the man on the left seem to express at 0:37?,He seems to express happiness,He seems to express anger and is furious.,The man on the left seems to be confused.,The man on the left seems to be surprised.,0,"[0, 1, 2, 3, 4, 5, 6]",5
ZKTIOHRjlHM_q1_4,ZKTIOHRjlHM,Are the two men angry?,"No, they seem to be passionate about what they are discussing but they do not seem to be angry",The two men were discussing their favorite sports teams.,The two men seem to be extremely angry at each other.,The two men were discussing how pricing affects market equilibrium.,0,"[0, 1, 2, 3, 4]",3
ZKTIOHRjlHM_q4_3,ZKTIOHRjlHM,How are the men acting in the video?,"The men in the video are acting fairly professional, as if they are having a civil debate",He is acting professionally.,They are both agitated.,The men are having a serious conversation.,0,"[0, 1, 2, 3, 4]",3
ZKTIOHRjlHM_q2_0,ZKTIOHRjlHM,Is the man in the red hat angry?,"No, he remains civil during the conversation.","Yes, his tone gets aggressive.","Yes, he is furious during the conversation.","Yes, he is annoyed during the conversation.",0,"[0, 1, 2, 3, 4]",3
ZKTIOHRjlHM_q3_3,ZKTIOHRjlHM,Is the man in the red hat engaged in the conversation?,"No, he is looking down for a long time.","Yes, he is both listening to the other man and speaking",The man in the red hat is not paying attention to the other man.,He is listening to the other man but not speaking.,1,"[0, 1, 2, 3, 4]",3
ZKTIOHRjlHM_q5_6,ZKTIOHRjlHM,What does the man in the hat want?,He wants the other man to leave.,The man in the hat wants to talk about his favorite sports teams.,The man in the hat wants to try to understand where the other man is coming from in this argument,The man in the hat wants to order a pizza.,2,"[0, 1, 2, 3, 4]",3
ZMJw752P7z8_q5_3,ZMJw752P7z8,How do the two sitting men respond to the other man eating all of the food?,The two men are enraged at him,The two sitting men were frustrated at the man eating all of the food with a fork.,The two men were discussing the weather.,"The two men fake being upset that the man is eating all of the food, but they realise the man is just doing it to get laughs",3,"[0, 1, 2]",1
ZMJw752P7z8_q3_9,ZMJw752P7z8,What is significant about the men talking over each other?,The men talking over each other are arguing about the cooking technique.,They cannot agree on a common thing,No rewriting needed. The original incorrect answer is fine.,The woman in the video is a famous chef.,1,"[0, 1, 2]",1
ZMJw752P7z8_q1_4,ZMJw752P7z8,What is the man in tux's expression as he tries the food?,The man is interested in it.,The man looks disgusted while trying the food.,The man does appear to be enjoying the food although we cannot say for sure as he maintains the suspense puropersefully,The man maintains a poker face while trying the food.,2,"[0, 1, 2]",1
ZMJw752P7z8_q4_2,ZMJw752P7z8,Why did the blonde man high five the other man?,He wants to appear cool,He high-fived the other man to show that he was happy.,He loved the dish that the other man cooked.,He was congratulating the other man on his outfit.,2,"[0, 1, 2]",1
ZMJw752P7z8_q2_2,ZMJw752P7z8,Why did the blonde man put his hand on his face?,He accidentally spilled hot sauce on his hand.,He was trying to scratch an itch on his face.,The man was trying to cover up a pimple on his nose.,He did not approve of the chef's choice.,3,"[0, 1, 2]",1
ZP8ACbJ677I_q4_5,ZP8ACbJ677I,"As a whole, what are the man's emotions?",He is impressed with how well the mascara works.,The man is confused about the makeup tutorial.,The man is absolutely stunned by the color of the mascara bottle.,The man is amazed at the product he is using.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
ZP8ACbJ677I_q5_6,ZP8ACbJ677I,How does the man feel about the mascara?,The man thinks the mascara is not worth the hype.,He likes the mascara.,The man thinks the mascara is too expensive.,The man feels the mascara should be purchased by anybody who wants to look good.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
ZP8ACbJ677I_q1_3,ZP8ACbJ677I,How does the man feel about the woman?,He believes she is beautiful.,The man is excited to try the mascara himself.,The man is jealous of the woman's makeup skills.,The man thinks the woman is a good model.,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
ZP8ACbJ677I_q2_4,ZP8ACbJ677I,How does the woman feel about the mascara?,The woman thinks the mascara is too expensive.,The woman does not mind the mascara.,The woman despises the mascara and would never wear it again.,The woman thinks the mascara is too dark.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
ZP8ACbJ677I_q3_7,ZP8ACbJ677I,To whom is the man talking?,The man is talking to another woman because he wants to apply to makeup to her.,The man is talking to himself.,The man is talking to another woman who is learning what the makeup does.,The man is talking to a group of people.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7
ZfZhi8nnnLI_q1_7,ZfZhi8nnnLI,How does the man in the black suit feel about the band?,The man in the black suit is annoyed by the band's music.,The man in the black suit is impressed by the band's music.,Very positive,The man in the black suit likes the band.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1
ZfZhi8nnnLI_q2_0,ZfZhi8nnnLI,How does the man in the black suit feel towards the trumpet player?,The man in the black suit was annoyed by the trumpet player.,He is friendly towards him,The man in the black suit feels jealous of the trumpet player.,He is confused by him.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1
ZfZhi8nnnLI_q3_6,ZfZhi8nnnLI,"Why does the audience laugh at the comments made about the correctness of the expression ""been dug""?",It is unusual,The audience is laughing uncontrollably.,The audience laughs because they are confused.,"They believe that the speaker is incorrect and that the expression ""dug been"" is the correct one.",0,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1
ZfZhi8nnnLI_q4_4,ZfZhi8nnnLI,Why is the crowd cheering?,"They were paid to do this, they do not mean anything",Because they want to welcome the guest,The crowd is cheering because they won a bet.,The crowd is cheering because it's her first performance and they are impressed by the extent of her talent.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1
ZfZhi8nnnLI_q5_9,ZfZhi8nnnLI,Why is the man in black smiling?,He just won the lottery.,He is happy to be in the company of the people around him.,To have a positive image towards other people,He is happy with the man in blue.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",1
ZuBzOV1ADkk_q4_11,ZuBzOV1ADkk,"After the guy pulls out the purple dildo, do the woman and guy become awkward?",They are neither comfortable nor uncomfortable after the purple dildo incident.,"no, they didn't think it was a big deal","yes, they both felt uneasy",The woman is angry at the man for bringing up her exes.,2,"[0, 1, 2, 3, 4, 5, 6]",2
ZuBzOV1ADkk_q5_3,ZuBzOV1ADkk,Is the guy eager to help the woman trash all of the stuff?,"no, he was not eager to help",He is not interested in throwing everything away.,Yes the guy wants to help get rid of all of the stuff.,He nods his head in agreement.,0,"[0, 1, 2, 3, 4, 5, 6]",2
ZuBzOV1ADkk_q3_6,ZuBzOV1ADkk,What is the woman's emotion when the guy pulls out the purple dildo?,The woman was amused and entertained.,she felt uncomfortable,The woman feels neutral.,The woman was angry and upset.,1,"[0, 1, 2, 3, 4, 5, 6]",2
ZuBzOV1ADkk_q2_6,ZuBzOV1ADkk,Why does the man seem confused?,No rewrite necessary. The original answer is incorrect as it does not address the reason for the man's confusion.,The man is distracted by the woman's wine glass.,he was referring to the stuff while the woman thought he was referring to the dildo,The man is trying to convince the woman to keep everything.,2,"[0, 1, 2, 3, 4, 5, 6]",2
ZuBzOV1ADkk_q1_10,ZuBzOV1ADkk,Why does the woman feel uncomfortable?,She is allergic to wine.,she is uncomfortable because she doesn't like the man,because she went through a breakup,To make her point clear.,2,"[0, 1, 2, 3, 4, 5, 6]",2
ZuYTtKZUkJc_q5_11,ZuYTtKZUkJc,How does the older man feel about the challenge?,The older man is comfortable.,The older man is excited about the challenge.,The older man is very excited about the challenge.,The older man is nervous about the challenge.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",1
ZuYTtKZUkJc_q3_3,ZuYTtKZUkJc,What is the atmosphere like in the crowded room?,The atmosphere is tense and scary.,The mood is dull.,The basketball players are arguing with each other.,The atmosphere is excited,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",1
ZuYTtKZUkJc_q4_10,ZuYTtKZUkJc,why do the two men glare at each other?,They are competing for a job.,That is the norm before they start their battle.,The two men glare at each other because they are friends.,They are both secretly in love with the same woman.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",1
ZuYTtKZUkJc_q1_0,ZuYTtKZUkJc,why does the man in white shirt increase his volume in his voice?,The man in the white shirt is trying to scare away the audience.,the man in the white shirt increases his volume to rile up the crowd and to get them pumped up,The man in the white shirt is trying to communicate with someone far away.,The man in the white shirt is trying to get the attention of the woman in the audience.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",1
ZuYTtKZUkJc_q2_3,ZuYTtKZUkJc,why does the man laugh a little when he mentions mike dubb?,He laughs because he remembers a funny moment.,"No, he reacts with a smile when Mike Dubb is mentioned.",the man laughs because he made a joke,This is a bad question,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",1
ZyIQkgixS_o_q1_3,ZyIQkgixS_o,How are the two interacting?,Rhett and Link are arguing about the best way to make pie.,They're talking about a topic.,Rhett and Link are interacting by throwing pies at each other.,The two people interact jokingly and comfortably,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",10
ZyIQkgixS_o_q8_1,ZyIQkgixS_o,How does the man on the left go about his pitch?,The man is wearing a red shirt.,The man is singing a song about pie.,He's candid and passionate,The man on the left goes about his pitch by focusing solely on the positives of,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",10
ZyIQkgixS_o_q7_0,ZyIQkgixS_o,How does the man on the left react when the man on the right pies himself in the face?,The man on the left starts singing a song.,He is surprised because he did not expect it to happen.,He is confused and angry because he thought the man on the right would not do such a thing.,The man on the left starts talking about his favorite type of cheese.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",10
ZyIQkgixS_o_q4_3,ZyIQkgixS_o,How does the man on the right go about his pitch?,The man on the right gives his pitch using the pie for physical humor,The man on the right thinks of a better way to use physical humor in his pitch.,The man on the right talks about his love for cake instead of pie.,He decides to give an emotional speech about his love for pie.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",10
ZyIQkgixS_o_q3_0,ZyIQkgixS_o,How does the man on the right make people feel when he talks about getting pie off his computer?,He makes them feel happy because they want pie on the computer.,He amuses them because it is an uncommon thing to say because most people don't put pie on computers.,He is confused about why anyone would put pie on a computer.,He is frustrated that the pie has ruined his computer.,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",10
ZyIQkgixS_o_q5_0,ZyIQkgixS_o,Is the man on the left surprised when the man on the right suddenly moves towards him with the pie?,"No, he remains calm.",The man on the left is surprised but not scared.,The man on the left is surprised but amused.,"No, he looks surprised.",0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",10
ZyIQkgixS_o_q6_9,ZyIQkgixS_o,What is the main purpose of this dialogue?,This is an absurd debate about the merits of cake and pie played for laughs,The video is a serious discussion on the history of pies.,The video is a tutorial on how to make the perfect pie crust.,To inform people about the dialogue.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",10
ZyIQkgixS_o_q2_8,ZyIQkgixS_o,"What tone does the man on the left say ""Grandma I loved you""?",He says it sarcastically; he means the example as a joke of a insincere benefit.,He says it very hesitantly because it's kind of a silly reason but one,"The man feels nostalgic and sentimental when he says ""Grandma I loved you"".",He says it ironically; he means the example as a joke of a sincere benefit,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",10
_0at8kXKWSw_q4_11,_0at8kXKWSw,How confident was the woman in the mint suit during her speech?,The woman in the mint suit was wearing a yellow scarf during her speech.,The woman in the mint suit was distracted by her phone during her speech.,She is pretty confident because her voice doesn't waver,agree with her.,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",6
_0at8kXKWSw_q3_11,_0at8kXKWSw,How did the people seated on the blue chairs react to the questions the woman in the mint suit asked?,"They don't entirely accept her message initially, so they look around and see everyone else's reaction",The people on the blue chairs are confused and don't understand the woman's message.,The people on blue chairs agree with the woman's message.,They react positively and are begging her to keep on talking,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",6
_0at8kXKWSw_q2_11,_0at8kXKWSw,Is the woman calm as she delivers her message?,Yes because she keeps a slight grin as she talks,The woman is angry as she delivers her message.,"No, because her voice sounds natural",The woman is sad as she delivers her message.,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",6
_0at8kXKWSw_q5_4,_0at8kXKWSw,What is the purpose of the woman's message?,She is preaching to the people in the room,The women are discussing their favorite TV shows.,The women are discussing their favorite foods.,She thinks that people should be able to think freely,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",6
_0at8kXKWSw_q1_9,_0at8kXKWSw,Why did the people seated near the table not say anything after another question the woman in the mint suit asked?,They were confident enough to speak up.,The people seated near the table were trying to avoid being seen on camera.,The people seated near the table were unsure of what to say next.,Because there is only one socially acceptable answer but they couldn't lie,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",6
_AuZO31q62g_q3_4,_AuZO31q62g,Describe the nature of the conversation and relationship between the man and woman,They argue with each other and are colleagues.,The conversation is a silly and light one between two friends who don't seem to work,The nature of the conversation is one between colleagues.,They are discussing their favorite TV shows.,2,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q2_1,_AuZO31q62g,Describe the tone of the man's speech and what this suggests about his mood,"The man's speech is sarcastic, suggesting he is skeptical about the issue at hand.","He seems distressed, suggesting he is concerned about the issue at hand",The man's speech is monotone and unemotional which suggests he is not invested in the issue at hand.,"He seems angry, suggesting he is frustrated with the issue at hand.",1,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q10_2,_AuZO31q62g,Describe the tone of the woman's speech and what this suggests about her mood,"The woman's closed body language suggests she is uncomfortable and defensive, possibly indicating she is hiding something.","The woman's tone is almost robotic and emotionless, indicating a lack of investment in what she is speaking about.","She seems nervous and unsure, suggesting she may not fully believe in what she is saying.","She seems full of conviction and emotion, suggesting she believes in the cause she is discussing and is feels strongly about it",3,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q4_0,_AuZO31q62g,Do the two people agree?,They both want to help solve the problem of corporate money in the media.,"No, they are giving two different points of view about advertising.","Yes, they both think corporate money in the media is a problem",The speakers are discussing the weather.,2,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q5_0,_AuZO31q62g,Does the woman seem to agree with the man?,The speakers in the video are discussing the issue of bias in the media.,"No, their opinions are very similar.","Yes, they have similar opinions about the topic?",The woman is wearing a blue shirt in the video.,2,"[0, 1, 2, 3, 4, 5]",3
_AuZO31q62g_q1_9,_AuZO31q62g,What does the woman think about what the man says?,"Yes, she agrees with the man's point of view.",The woman is on the same side as the man in this video.,The woman is thinking about what she will have for lunch.,"The woman is staring at the man, indicating her agreement with his opinions.",1,"[0, 1, 2, 3, 4, 5]",3
